NearestCity,acq_date,count,AverageTemperature,Year,Month
Adana,2000-11,104,12.714,2000,11
Adana,2000-12,7,8.201,2000,12
Adana,2001-01,2,7.2010000000000005,2001,1
Adana,2001-02,1,7.011,2001,2
Adana,2001-04,4,12.502,2001,4
Adana,2001-05,71,16.750999999999998,2001,5
Adana,2001-06,216,21.068,2001,6
Adana,2001-07,12,25.401,2001,7
Adana,2001-08,6,25.087,2001,8
Adana,2001-09,176,20.995,2001,9
Adana,2001-10,74,16.374000000000002,2001,10
Adana,2001-11,7,9.924,2001,11
Adana,2002-02,2,8.374,2002,2
Adana,2002-05,10,16.994,2002,5
Adana,2002-06,371,22.081,2002,6
Adana,2002-07,77,25.375,2002,7
Adana,2002-08,29,23.741,2002,8
Adana,2002-09,373,19.827,2002,9
Adana,2002-10,149,15.558,2002,10
Adana,2002-11,90,11.923,2002,11
Adana,2002-12,3,5.029999999999999,2002,12
Adana,2003-01,6,6.948,2003,1
Adana,2003-02,1,1.226,2003,2
Adana,2003-03,4,4.683999999999998,2003,3
Adana,2003-05,18,18.23,2003,5
Adana,2003-06,873,22.662,2003,6
Adana,2003-07,101,24.132,2003,7
Adana,2003-08,16,25.155,2003,8
Adana,2003-09,367,19.245,2003,9
Adana,2003-10,153,15.7,2003,10
Adana,2003-11,310,10.507,2003,11
Adana,2003-12,10,6.276999999999999,2003,12
Adana,2004-01,2,4.044,2004,1
Adana,2004-02,3,5.433,2004,2
Adana,2004-03,6,8.524,2004,3
Adana,2004-04,4,12.1,2004,4
Adana,2004-05,32,16.169,2004,5
Adana,2004-06,444,21.006,2004,6
Adana,2004-07,28,23.048,2004,7
Adana,2004-08,23,23.044,2004,8
Adana,2004-09,393,20.378,2004,9
Adana,2004-10,348,16.926000000000002,2004,10
Adana,2004-11,187,11.363,2004,11
Adana,2004-12,35,7.635,2004,12
Adana,2005-01,9,6.017,2005,1
Adana,2005-02,11,4.633,2005,2
Adana,2005-03,6,7.4529999999999985,2005,3
Adana,2005-04,4,12.344,2005,4
Adana,2005-05,55,17.037000000000006,2005,5
Adana,2005-06,494,20.19,2005,6
Adana,2005-07,36,23.865,2005,7
Adana,2005-08,35,24.442,2005,8
Adana,2005-09,717,20.597,2005,9
Adana,2005-10,155,14.293,2005,10
Adana,2005-11,114,9.747,2005,11
Adana,2005-12,27,7.4529999999999985,2005,12
Adana,2006-01,1,2.463,2006,1
Adana,2006-02,3,4.3660000000000005,2006,2
Adana,2006-03,6,8.176,2006,3
Adana,2006-04,2,12.514,2006,4
Adana,2006-05,117,17.097,2006,5
Adana,2006-06,421,21.301,2006,6
Adana,2006-07,43,23.2,2006,7
Adana,2006-08,29,25.392,2006,8
Adana,2006-09,500,19.994,2006,9
Adana,2006-10,49,15.765,2006,10
Adana,2006-11,120,9.437,2006,11
Adana,2006-12,23,6.058,2006,12
Adana,2007-01,7,7.513,2007,1
Adana,2007-03,5,8.793,2007,3
Adana,2007-04,5,11.064,2007,4
Adana,2007-05,8,18.483,2007,5
Adana,2007-06,284,23.727,2007,6
Adana,2007-07,68,25.447,2007,7
Adana,2007-08,179,25.31,2007,8
Adana,2007-09,530,19.699,2007,9
Adana,2007-10,119,16.163,2007,10
Adana,2007-11,54,9.816,2007,11
Adana,2007-12,15,5.318999999999999,2007,12
Adana,2008-01,7,3.045,2008,1
Adana,2008-02,7,4.899,2008,2
Adana,2008-03,8,10.758,2008,3
Adana,2008-04,8,13.737,2008,4
Adana,2008-05,42,17.028000000000002,2008,5
Adana,2008-06,286,22.186,2008,6
Adana,2008-07,31,23.879,2008,7
Adana,2008-08,124,25.111,2008,8
Adana,2008-09,620,19.859,2008,9
Adana,2008-10,55,15.767,2008,10
Adana,2008-11,51,12.025,2008,11
Adana,2008-12,2,7.672999999999999,2008,12
Adana,2009-01,4,5.699999999999998,2009,1
Adana,2009-02,2,6.131,2009,2
Adana,2009-03,2,7.819,2009,3
Adana,2009-04,7,11.458,2009,4
Adana,2009-05,38,17.593,2009,5
Adana,2009-06,638,22.05,2009,6
Adana,2009-07,94,24.635,2009,7
Adana,2009-08,46,23.756,2009,8
Adana,2009-09,383,19.769,2009,9
Adana,2009-10,216,16.595,2009,10
Adana,2009-11,51,11.399,2009,11
Adana,2009-12,23,9.117,2009,12
Adana,2010-01,2,4.876,2010,1
Adana,2010-02,1,7.419,2010,2
Adana,2010-03,1,8.118,2010,3
Adana,2010-04,6,12.618,2010,4
Adana,2010-05,123,18.169,2010,5
Adana,2010-06,173,21.719,2010,6
Adana,2010-07,19,24.444000000000003,2010,7
Adana,2010-08,253,26.774,2010,8
Adana,2010-09,298,21.0,2010,9
Adana,2010-10,58,14.146,2010,10
Adana,2010-11,43,14.947,2010,11
Adana,2010-12,5,8.588999999999999,2010,12
Adana,2011-01,4,4.765,2011,1
Adana,2011-02,6,4.562,2011,2
Adana,2011-03,7,7.204,2011,3
Adana,2011-04,3,9.971,2011,4
Adana,2011-05,9,16.094,2011,5
Adana,2011-06,239,21.165000000000006,2011,6
Adana,2011-07,62,24.892,2011,7
Adana,2011-08,67,23.634,2011,8
Adana,2011-09,520,21.967,2011,9
Adana,2011-10,88,13.406,2011,10
Adana,2011-11,30,7.857000000000001,2011,11
Adana,2011-12,10,7.4129999999999985,2011,12
Adana,2012-02,1,2.476,2012,2
Adana,2012-03,6,7.313,2012,3
Adana,2012-04,7,13.861,2012,4
Adana,2012-05,15,17.459000000000003,2012,5
Adana,2012-06,186,23.161,2012,6
Adana,2012-07,36,26.295,2012,7
Adana,2012-08,253,25.206,2012,8
Adana,2012-09,437,21.748,2012,9
Adana,2012-10,22,18.487,2012,10
Adana,2012-11,15,13.084,2012,11
Adana,2012-12,6,6.143,2012,12
Adana,2013-01,2,6.021,2013,1
Adana,2013-02,6,7.478,2013,2
Adana,2013-03,3,9.346,2013,3
Adana,2013-04,6,13.163,2013,4
Adana,2013-05,50,19.443,2013,5
Adana,2013-06,135,21.758000000000006,2013,6
Adana,2013-07,25,23.92,2013,7
Adana,2013-08,493,25.246,2013,8
Afyonkarahisar,2000-11,22,12.714,2000,11
